Name, Country 1, Country 2, Age, Position, Previous Club, Next Club, Transfer Fee
Yoric Ravet, France, None, 21, RW, Grenoble, AS Saint-Étienne, Winter, 2010, 600 Th. €
Alejandro Alonso, Argentina, Spain, 28, RW, Monaco, AS Saint-Étienne, Winter, 2010, 200 Th. €
Sébastien Grax, France, None, 26, CF, AS Saint-Étienne, None, Winter, 2010, -
Razak Boukari, Togo, France, 23, RW, RC Lens, Stade Rennais, Winter, 2010, 5.00 Mill. €
Marco Ramos, Portugal, France, 27, LB, RC Lens, Braga, Winter, 2010, Free transfer
John Utaka, Nigeria, None, 29, LW, Portsmouth FC, HSC Montpellier, Winter, 2010, 500 Th. €
Jean II Makoun, Cameroon, France, 27, DM, Olympique Lyon, Aston Villa, Winter, 2010, 6.20 Mill. €
Jonas Sakuwaha, Zambia, None, 27, RW, FC Lorient, Al Merreikh, Winter, 2010, Free transfer
Ronan Le Crom, France, None, 36, GK, None, AS Nancy-Lorraine, Winter, 2010, -
Grégory Proment, France, None, 32, DM, Antalyaspor, SM Caen, Winter, 2010, Free transfer
Bobo Balde, Guinea, France, 35, CB, Valenciennes FC , AC Arles, Winter, 2010, Bonservissiz
Amara Bangoura, Guinea, None, 24, RM, Valenciennes FC , OC Vannes, Winter, 2010, Free transfer
Jonathan Ayité, Togo, France, 25, CF, Nîmes Olympique, Stade Brest 29, Winter, 2010, 1.00 Mill. €
Simon Pontdemé, France, None, 22, GK, Stade Brest 29, AJ Auxerre, Winter, 2010, Free transfer
Bobo Balde, Guinea, France, 35, CB, Valenciennes FC, Athlétic Club Arlésien, Winter, 2010, Bonservissiz
Arnaud Torregrossa, France, None, 21, GK, Perpignan Canet, Athlétic Club Arlésien, Winter, 2010, Free transfer
Romain Rocchi, France, None, 29, DM, Hapoel Tel Aviv, Athlétic Club Arlésien, Winter, 2010, Free transfer
Elamine Erbate, Morocco, None, 29, CB, Athlétic Club Arlésien, Raja Casablanca, Winter, 2010, 200 Th. €
Álvaro Mejía, Spain, None, 28, CB, Athlétic Club Arlésien, Konyaspor, Winter, 2010, Free transfer
Benjamin Psaume, France, None, 25, RW, Athlétic Club Arlésien, Troyes, Winter, 2010, Free transfer
Angelos Charisteas, Greece, None, 30, CF, Athlétic Club Arlésien, None, Winter, 2010, -
Angelos Basinas, Greece, None, 34, DM, Athlétic Club Arlésien, None, Winter, 2010, -
Moritz Leitner, Germany, Austria, 18, CM, 1860 Munich, Borussia Dortmund, Winter, 2010, Free transfer
Yasin Öztekin, Turkey, Germany, 23, LW, Borussia Dortmund, Genclerbirligi, Winter, 2010, Free transfer
Luiz Gustavo, Brazil, Germany, 23, DM, TSG Hoffenheim, Bayern Munich, Winter, 2010, 17.00 Mill. €
Martín Demichelis, Argentina, Italy, 30, CB, Bayern Munich, Málaga CF, Winter, 2010, 3.00 Mill. €
Edson Braafheid, Netherlands, Suriname, 27, LB, Bayern Munich, TSG Hoffenheim, Winter, 2010, Free transfer
Mark van Bommel, Netherlands, None, 33, DM, Bayern Munich, AC Milan, Winter, 2010, Free transfer
Anthony Annan, Ghana, None, 24, DM, Rosenborg BK, FC Schalke 04, Winter, 2010, 2.00 Mill. €
Ali Karimi, Iran, None, 32, AM, Steel Azin, FC Schalke 04, Winter, 2010, Free transfer
Angelos Charisteas, Greece, None, 30, CF, None, FC Schalke 04, Winter, 2010, -
Ivan Rakitic, Croatia, Switzerland, 22, CM, FC Schalke 04, Sevilla FC, Winter, 2010, 2.50 Mill. €
Erik Jendrisek, Slovakia, None, 24, CF, FC Schalke 04, SC Freiburg, Winter, 2010, 700 Th. €
Martin Stranzl, Austria, None, 30, CB, Spartak Moscow, Borussia Mönchengladbach, Winter, 2010, 800 Th. €
Havard Nordtveit, Norway, None, 20, CB, Arsenal Res., Borussia Mönchengladbach, Winter, 2010, Free transfer
Mike Hanke, Germany, None, 27, CF, Hannover 96, Borussia Mönchengladbach, Winter, 2010, Free transfer
Jan-Ingwer Callsen-Bracker, Germany, None, 26, CB, Borussia Mönchengladbach, FC Augsburg, Winter, 2010, Free transfer
Hajime Hosogai, Japan, None, 24, DM, Urawa Reds, Bayer 04 Leverkusen, Winter, 2010, Free transfer
Patrick Helmes, Germany, None, 26, CF, Bayer 04 Leverkusen, VfL Wolfsburg, Winter, 2010, 5.00 Mill. €
Shinji Okazaki, Japan, None, 24, CF, Shimizu S-Pulse, VfB Stuttgart, Winter, 2010, Free transfer
Mauro Germán Camoranesi, Italy, Argentina, 34, RM, VfB Stuttgart, CA Lanús, Winter, 2010, Free transfer
Mike Hanke, Germany, None, 27, CF, Hannover 96, Bor. M'gladbach, Winter, 2010, Free transfer
Valdet Rama, Albania, Germany, 23, LW, Hannover 96, Örebro SK, Winter, 2010, ?
Patrick Helmes, Germany, None, 26, CF, Bay. Leverkusen, VfL Wolfsburg, Winter, 2010, 5.00 Mill. €
Tuncay Sanli, Turkey, None, 29, LW, Stoke City, VfL Wolfsburg, Winter, 2010, 4.50 Mill. €
Jan Polak, Czech Republic, None, 29, DM, RSC Anderlecht, VfL Wolfsburg, Winter, 2010, 3.00 Mill. €
Ja-Cheol Koo, Korea  South, None, 21, AM, Jeju Utd., VfL Wolfsburg, Winter, 2010, 2.00 Mill. €
Yohandry Orozco, Venezuela, Lebanon, 19, LW, Zulia FC, VfL Wolfsburg, Winter, 2010, 750 Th. €
Edin Dzeko, Bosnia-Herzegovina, None, 24, CF, VfL Wolfsburg, Man City, Winter, 2010, 37.00 Mill. €
Andrea Barzagli, Italy, None, 29, CB, VfL Wolfsburg, Juventus, Winter, 2010, 300 Th. €
Vlad Munteanu, Romania, None, 29, LM, VfL Wolfsburg, Dinamo Bukarest, Winter, 2010, Free transfer
Denni Avdic, Sweden, Bosnia-Herzegovina, 22, CF, Elfsborg, SV Werder Bremen, Winter, 2010, 2.20 Mill. €
Predrag Stevanovic, Serbia, None, 19, AM, Schalke 04 II, SV Werder Bremen, Winter, 2010, 100 Th. €
Samuel Jesus, Brazil, None, 24, CB, São Paulo, SV Werder Bremen, Winter, 2010, Free transfer
Hugo Almeida, Portugal, None, 26, CF, SV Werder Bremen, Besiktas, Winter, 2010, 2.00 Mill. €
Timo Ochs, Germany, None, 29, GK, None, 1.FC Nuremberg, Winter, 2010, -
Matthew Spiranovic, Australia, Croatia, 22, CB, 1.FC Nuremberg, Urawa Reds, Winter, 2010, 450 Th. €
Isaac Boakye, Ghana, None, 29, CF, 1.FC Nuremberg, None, Winter, 2010, -
Cenk Tosun, Turkey, Germany, 19, CF, Eintracht Frankfurt, Gaziantepspor, Winter, 2010, 550 Th. €
Marcos Álvarez, Germany, Spain, 18, SS, Eintracht Frankfurt, FC Bayern II, Winter, 2010, 200 Th. €
Markus Steinhöfer, Germany, None, 24, RB, Eintracht Frankfurt, FC Basel, Winter, 2010, 100 Th. €
Ryan Babel, Netherlands, Suriname, 24, LW, Liverpool, TSG 1899 Hoffenheim, Winter, 2010, 7.00 Mill. €
Roberto Firmino, Brazil, None, 19, SS, Tombense, TSG 1899 Hoffenheim, Winter, 2010, 4.00 Mill. €
Kevin Volland, Germany, None, 18, SS, 1860 Munich, TSG 1899 Hoffenheim, Winter, 2010, 700 Th. €
Edson Braafheid, Netherlands, Suriname, 27, LB, Bayern Munich , TSG 1899 Hoffenheim, Winter, 2010, Free transfer
Luiz Gustavo, Brazil, Germany, 23, DM, TSG 1899 Hoffenheim, Bayern Munich , Winter, 2010, 17.00 Mill. €
Demba Ba, Senegal, France, 25, CF, TSG 1899 Hoffenheim, West Ham, Winter, 2010, 800 Th. €
Christian Eichner, Germany, None, 28, LB, TSG 1899 Hoffenheim, 1. FC Köln, Winter, 2010, 100 Th. €
Marco Terrazzino, Germany, Italy, 19, LW, TSG 1899 Hoffenheim, Karlsruher SC, Winter, 2010, ?
Erik Jendrisek, Slovakia, None, 24, CF, FC Schalke 04, SC Freiburg, Winter, 2010, 700 Th. €
Alain Junior Ollé Ollé, Cameroon, None, 23, LM, SC Freiburg, Stabaek IF, Winter, 2010, Free transfer
Eugen Polanski, Poland, Germany, 24, DM, Getafe CF, 1.FSV Mainz 05, Winter, 2010, 1.10 Mill. €
Haruna Babangida, Nigeria, Spain, 28, RW, 1.FSV Mainz 05, Vitesse, Winter, 2010, Free transfer
Félix Borja, Ecuador, Mexico, 27, CF, 1.FSV Mainz 05, Puebla, Winter, 2010, Free transfer
Slawomir Peszko, Poland, None, 25, LW, Lech Poznan, 1. FC Köln, Winter, 2010, 500 Th. €
Christian Eichner, Germany, None, 28, LB, TSG Hoffenheim, 1. FC Köln, Winter, 2010, 100 Th. €
Tomoaki Makino, Japan, None, 23, CB, Sanf. Hiroshima, 1. FC Köln, Winter, 2010, Free transfer
Michael Rensing, Germany, None, 26, GK, None, 1. FC Köln, Winter, 2010, -
Faryd Mondragón, Colombia, Lebanon, 39, GK, 1. FC Köln, Philadelphia, Winter, 2010, Free transfer
Daniel Brosinski, Germany, None, 22, RB, 1. FC Köln, Wehen Wiesbaden, Winter, 2010, Free transfer
Moussa Ouattara, Burkina Faso, None, 28, CB, 1.FC Kaiserslautern, SC Fortuna Köln, Winter, 2010, Free transfer
Filipe Luís, Brazil, Italy, 24, LB, Dep. La Coruña, Atlético Madrid, Summer, 2010, 12.00 Mill. €
Diego Godín, Uruguay, Spain, 24, CB, Villarreal CF, Atlético Madrid, Summer, 2010, 8.00 Mill. €
Mario Suárez, Spain, None, 23, DM, RCD Mallorca, Atlético Madrid, Summer, 2010, 1.80 Mill. €
Diego Costa, Spain, Brazil, 21, CF, Real Valladolid, Atlético Madrid, Summer, 2010, 1.00 Mill. €
Fran Mérida, Spain, None, 20, CM, Arsenal, Atlético Madrid, Summer, 2010, Free transfer
José Manuel Jurado, Spain, None, 24, AM, Atlético Madrid, FC Schalke 04, Summer, 2010, 11.00 Mill. €
Roberto, Spain, None, 24, GK, Atlético Madrid, Benfica, Summer, 2010, 8.50 Mill. €
Mariano Pernía, Spain, Argentina, 33, LB, Atlético Madrid, Nacional, Summer, 2010, Free transfer
Pablo Ibáñez, Spain, None, 28, CB, Atlético Madrid, West Brom, Summer, 2010, Free transfer
David Villa, Spain, None, 28, CF, Valencia CF, FC Barcelona, Summer, 2010, 40.00 Mill. €
Javier Mascherano, Argentina, Italy, 26, CB, Liverpool, FC Barcelona, Summer, 2010, 20.00 Mill. €
Adriano, Brazil, Spain, 25, LB, Sevilla FC, FC Barcelona, Summer, 2010, 9.50 Mill. €
Yaya Touré, Cote d'Ivoire, None, 27, CM, FC Barcelona, Man City, Summer, 2010, 30.00 Mill. €
Dmytro Chygrynskiy, Ukraine, None, 23, CB, FC Barcelona, Shakhtar D., Summer, 2010, 15.00 Mill. €
Rafael Márquez, Mexico, Spain, 31, CB, FC Barcelona, NY Red Bulls, Summer, 2010, Free transfer
Thierry Henry, France, Guadeloupe, 32, CF, FC Barcelona, NY Red Bulls, Summer, 2010, Free transfer
Matteo Contini, Italy, None, 30, CB, SSC Napoli, Real Zaragoza, Summer, 2010, 2.20 Mill. €
Ádám Pintér, Hungary, None, 22, DM, MTK Budapest, Real Zaragoza, Summer, 2010, 1.20 Mill. €
Toni Doblas, Spain, None, 29, GK, SD Huesca, Real Zaragoza, Summer, 2010, Free transfer
Maurizio Lanzaro, Italy, None, 28, CB, Reggina, Real Zaragoza, Summer, 2010, Free transfer
Leo Franco, Argentina, Italy, 33, GK, Galatasaray, Real Zaragoza, Summer, 2010, Free transfer
Saïd Boutahar, Netherlands, Morocco, 28, AM, None, Real Zaragoza, Summer, 2010, -
Pablo Amo, Spain, None, 32, CB, Real Zaragoza, Panserraikos, Summer, 2010, Free transfer
Javier Arizmendi, Spain, None, 26, CF, Real Zaragoza, Getafe CF, Summer, 2010, Free transfer
Francisco Pavón, Spain, None, 30, CB, Real Zaragoza, AC Arles, Summer, 2010, Free transfer
Rubén Pulido, Spain, None, 31, CB, Real Zaragoza, Asteras Tripoli, Summer, 2010, Free transfer
Peter Luccin, France, Martinique, 31, DM, Real Zaragoza, None, Summer, 2010, -
Franck Songo'o, Cameroon, France, 23, RW, Real Zaragoza, None, Summer, 2010, -
Marko Babic, Croatia, None, 29, LM, Real Zaragoza, None, Summer, 2010, -
Edson Ratinho, Brazil, None, 24, RB, FC Bunyodkor, RCD Mallorca, Summer, 2010, Free transfer
João Victor, Brazil, None, 21, DM, FC Bunyodkor, RCD Mallorca, Summer, 2010, Free transfer
Jonathan de Guzmán, Netherlands, Canada, 22, CM, Feyenoord, RCD Mallorca, Summer, 2010, Free transfer
Aritz Aduriz, Spain, None, 29, CF, RCD Mallorca, Valencia CF, Summer, 2010, 4.30 Mill. €
Mario Suárez, Spain, None, 23, DM, RCD Mallorca, Atlético Madrid, Summer, 2010, 1.80 Mill. €
Javi Guerra, Spain, None, 28, CF, RCD Mallorca, Real Valladolid, Summer, 2010, 300 Th. €
Fernando Varela, Spain, None, 30, RB, RCD Mallorca, Kasimpasa, Summer, 2010, Free transfer
Josemi, Spain, None, 30, CB, RCD Mallorca, Iraklis, Summer, 2010, Free transfer
Julio Álvarez, Venezuela, Spain, 29, AM, RCD Mallorca, CD Tenerife, Summer, 2010, Free transfer
Juanmi Callejón, Spain, None, 23, LW, RCD Mallorca, Córdoba CF, Summer, 2010, Free transfer
Nauzet Pérez, Spain, None, 25, GK, RCD Mallorca, AD Ceuta , Summer, 2010, Free transfer
Bruno China, Portugal, None, 27, CM, RCD Mallorca, Rio Ave FC, Summer, 2010, Free transfer
Óscar Díaz, Spain, None, 26, CF, RCD Mallorca, Xerez CD, Summer, 2010, ?
Dejan Lekic, Serbia, None, 25, CF, Red Star, CA Osasuna, Summer, 2010, 2.47 Mill. €
Asier Riesgo, Spain, None, 26, GK, Real Sociedad, CA Osasuna, Summer, 2010, Free transfer
Lolo, Spain, None, 25, DM, Sevilla FC, CA Osasuna, Summer, 2010, Free transfer
Fernando Soriano, Spain, None, 30, AM, UD Almería, CA Osasuna, Summer, 2010, Free transfer
Damià, Spain, None, 28, RB, Real Betis, CA Osasuna, Summer, 2010, Free transfer
César Azpilicueta, Spain, None, 20, RB, CA Osasuna, Marseille, Summer, 2010, 6.00 Mill. €
Ludovic Delporte, France, None, 30, LW, CA Osasuna, Gimnàstic, Summer, 2010, Free transfer
Roberto Fernández, Spain, None, 31, GK, CA Osasuna, Granada CF, Summer, 2010, ?
Dady, Cape Verde, Portugal, 28, CF, CA Osasuna, Bucaspor, Summer, 2010, ?
Tiberio Guarente, Italy, None, 24, CM, Atalanta, Sevilla FC, Summer, 2010, 5.50 Mill. €
Alexis, Spain, None, 25, CB, Valencia CF, Sevilla FC, Summer, 2010, 5.00 Mill. €
Mouhamadou Dabo, France, Senegal, 23, RB, Saint-Étienne, Sevilla FC, Summer, 2010, Free transfer
Adriano, Brazil, Spain, 25, LB, Sevilla FC, FC Barcelona, Summer, 2010, 9.50 Mill. €
Sébastien Squillaci, France, None, 30, CB, Sevilla FC, Arsenal, Summer, 2010, 6.50 Mill. €
Renato, Brazil, Italy, 31, DM, Sevilla FC, Botafogo, Summer, 2010, Free transfer
Javier Chevantón, Uruguay, Spain, 30, CF, Sevilla FC, Lecce, Summer, 2010, Free transfer
Aldo Duscher, Argentina, Austria, 31, DM, Sevilla FC, Espanyol, Summer, 2010, Free transfer
José Crespo, Spain, None, 23, CB, Sevilla FC, Padova, Summer, 2010, Free transfer
Lolo, Spain, None, 25, DM, Sevilla FC, CA Osasuna, Summer, 2010, Free transfer
Ángel Di María, Argentina, Italy, 22, RW, Benfica, Real Madrid, Summer, 2010, 33.00 Mill. €
Mesut Özil, Germany, None, 21, AM, Werder Bremen, Real Madrid, Summer, 2010, 18.00 Mill. €
Sami Khedira, Germany, Tunisia, 23, CM, VfB Stuttgart, Real Madrid, Summer, 2010, 14.00 Mill. €
Pedro León, Spain, None, 23, RW, Getafe CF, Real Madrid, Summer, 2010, 10.00 Mill. €
Ricardo Carvalho, Portugal, None, 32, CB, Chelsea, Real Madrid, Summer, 2010, 8.00 Mill. €
Sergio Canales, Spain, None, 19, AM, Racing, Real Madrid, Summer, 2010, 6.00 Mill. €
Rafael van der Vaart, Netherlands, None, 27, AM, Real Madrid, Spurs, Summer, 2010, 10.50 Mill. €
Christoph Metzelder, Germany, None, 29, CB, Real Madrid, FC Schalke 04, Summer, 2010, Free transfer
Raúl, Spain, None, 33, SS, Real Madrid, FC Schalke 04, Summer, 2010, Free transfer
Guti, Spain, None, 33, CM, Real Madrid, Besiktas, Summer, 2010, Free transfer
Francis Pérez, Spain, None, 28, RB, Xerez CD, Racing Santander, Summer, 2010, Free transfer
Adrián González, Spain, None, 22, AM, Getafe CF, Racing Santander, Summer, 2010, Free transfer
Domingo Cisma, Spain, None, 28, LB, UD Almería, Racing Santander, Summer, 2010, Free transfer
Ariel Nahuelpán, Argentina, Mexico, 22, CF, Coritiba FC, Racing Santander, Summer, 2010, Free transfer
Kennedy, Sweden, Turkey, 29, RM, AFC Ajax, Racing Santander, Summer, 2010, Free transfer
Sergio Canales, Spain, None, 19, AM, Racing Santander, Real Madrid, Summer, 2010, 6.00 Mill. €
Mémé Tchité, Burundi, Rwanda, 26, CF, Racing Santander, Standard Liège, Summer, 2010, 4.00 Mill. €
Juanjo, Spain, None, 24, CF, Racing Santander, UD Salamanca, Summer, 2010, Free transfer
Oriol Lozano, Spain, None, 29, CB, Racing Santander, Aris Saloniki, Summer, 2010, Free transfer
Luis García, Spain, None, 32, RW, Racing Santander, Panathinaikos, Summer, 2010, Free transfer
Jorge Gonçalves, Portugal, None, 26, RW, Racing Santander, Olhanense, Summer, 2010, Free transfer
Toni Moral, Spain, None, 28, LW, Racing Santander, FC Cartagena, Summer, 2010, Free transfer
José Moratón, Spain, None, 30, CB, Racing Santander, UD Salamanca, Summer, 2010, ?
Joseba Llorente, Spain, None, 30, CF, Villarreal CF, Real Sociedad, Summer, 2010, 2.50 Mill. €
Diego Ifrán, Uruguay, None, 23, CF, Danubio FC, Real Sociedad, Summer, 2010, 1.50 Mill. €
Jeffrey Sarpong, Netherlands, Ghana, 21, LW, AFC Ajax, Real Sociedad, Summer, 2010, 200 Th. €
Raúl Tamudo, Spain, None, 32, CF, Espanyol, Real Sociedad, Summer, 2010, Free transfer
Paco Sutil, Spain, None, 25, AM, SD Eibar, Real Sociedad, Summer, 2010, Free transfer
Iosu Esnaola, Spain, None, 24, CB, UD Lanzarote, Real Sociedad, Summer, 2010, -
Iosu Esnaola, Spain, None, 24, CB, Real Unión, Real Sociedad, Summer, 2010, -
Asier Riesgo, Spain, None, 26, GK, Real Sociedad, CA Osasuna, Summer, 2010, Free transfer
Iosu Esnaola, Spain, None, 24, CB, Real Sociedad, UD Lanzarote, Summer, 2010, ?
Iosu Esnaola, Spain, None, 23, CB, Real Sociedad, Real Unión, Summer, 2010, ?
Sergio Rodríguez, Spain, None, 31, CM, Real Sociedad, None, Summer, 2010, -
Daniel Osvaldo, Italy, Argentina, 24, CF, Bologna, RCD Espanyol Barcelona, Summer, 2010, 4.60 Mill. €
Felipe Mattioni, Brazil, Italy, 21, RB, Maga, RCD Espanyol Barcelona, Summer, 2010, 2.00 Mill. €
Sergio García, Spain, None, 27, CF, Real Betis, RCD Espanyol Barcelona, Summer, 2010, 1.80 Mill. €
Aldo Duscher, Argentina, Austria, 31, DM, Sevilla FC, RCD Espanyol Barcelona, Summer, 2010, Free transfer
Nicolás Pareja, Argentina, Italy, 26, CB, RCD Espanyol Barcelona, Spartak Moscow, Summer, 2010, 10.00 Mill. €
Moisés Hurtado, Spain, None, 29, DM, RCD Espanyol Barcelona, Olympiacos, Summer, 2010, 1.80 Mill. €
Valdo, Cape Verde, Spain, 29, RW, RCD Espanyol Barcelona, Levante UD, Summer, 2010, Free transfer
Raúl Tamudo, Spain, None, 32, CF, RCD Espanyol Barcelona, Real Sociedad, Summer, 2010, Free transfer
Grégory Béranger, France, None, 28, LB, RCD Espanyol Barcelona, CD Tenerife, Summer, 2010, ?
Javi Ruiz, Spain, None, 30, GK, RCD Espanyol Barcelona, None, Summer, 2010, -
Jônatas, Brazil, None, 28, CM, RCD Espanyol Barcelona, None, Summer, 2010, -
Saúl, Spain, None, 25, AM, Elche CF, Deportivo de La Coruña, Summer, 2010, Free transfer
Claudio Morel, Paraguay, None, 32, LB, Boca Juniors, Deportivo de La Coruña, Summer, 2010, Free transfer
Yves Desmarets, Haiti, France, 30, LM, Vit. Guimarães, Deportivo de La Coruña, Summer, 2010, Free transfer
Felipe Ramos, Spain, None, 22, GK, RM Castilla, Deportivo de La Coruña, Summer, 2010, Free transfer
Ángel Carrascosa, Spain, None, 20, CF, Villarreal CF B, Deportivo de La Coruña, Summer, 2010, ?
Filipe Luís, Brazil, Italy, 24, LB, Deportivo de La Coruña, Atlético Madrid, Summer, 2010, 12.00 Mill. €
Sergio, Spain, None, 33, CM, Deportivo de La Coruña, Levante UD, Summer, 2010, Free transfer
Brayan Angulo, Colombia, Spain, 20, LB, Deportivo de La Coruña, Rayo Vallecano, Summer, 2010, Free transfer
Omar Bravo, Mexico, None, 30, CF, Deportivo de La Coruña, Kansas, Summer, 2010, ?
Rubén Castro, Spain, None, 29, CF, Deportivo de La Coruña, Real Betis, Summer, 2010, ?
Roberto Soldado, Spain, None, 25, CF, Getafe CF, Valencia CF, Summer, 2010, 10.00 Mill. €
Tino Costa, Argentina, France, 25, CM, Montpellier, Valencia CF, Summer, 2010, 6.50 Mill. €
Mehmet Topal, Turkey, None, 24, DM, Galatasaray, Valencia CF, Summer, 2010, 5.50 Mill. €
Aritz Aduriz, Spain, None, 29, CF, RCD Mallorca, Valencia CF, Summer, 2010, 4.30 Mill. €
Ricardo Costa, Portugal, None, 29, CB, LOSC Lille, Valencia CF, Summer, 2010, Free transfer
Sofiane Feghouli, Algeria, France, 20, RW, Grenoble, Valencia CF, Summer, 2010, Free transfer
David Villa, Spain, None, 28, CF, Valencia CF, FC Barcelona, Summer, 2010, 40.00 Mill. €
David Silva, Spain, None, 24, AM, Valencia CF, Man City, Summer, 2010, 28.75 Mill. €
Nikola Zigic, Serbia, None, 29, CF, Valencia CF, Birmingham, Summer, 2010, 7.00 Mill. €
Alexis, Spain, None, 25, CB, Valencia CF, Sevilla FC, Summer, 2010, 5.00 Mill. €
Carlos Marchena, Spain, None, 31, CB, Valencia CF, Villarreal CF, Summer, 2010, 2.50 Mill. €
Arturo Navarro, Spain, None, 20, CB, Valencia CF, Ontinyent CF, Summer, 2010, Free transfer
Hugo Viana, Portugal, None, 27, CM, Valencia CF, Braga, Summer, 2010, Free transfer
Rubén Baraja, Spain, None, 34, CM, Valencia CF, None, Summer, 2010, -
Carlos Marchena, Spain, None, 31, CB, Valencia CF, Villarreal CF, Summer, 2010, 2.50 Mill. €
